ParkName,hours,visits,hours_per_visit,latitude,longitude,OBJECTID,UNIT_CODE,UNIT_NAME,DATE_EDIT,STATE,REGION,GNIS_ID,UNIT_TYPE,CREATED_BY,PARKNAME,CreationDate,Creator,EditDate,Editor,GlobalID,AreaID
Mammoth Cave NP,"4,279,473","515,774",8.297186365,37.18400601,-86.12299897,273,MACA,Mammoth Cave National Park,2009-03-27T00:00:00Z,KY,SE,507318,National Park,Lands,Mammoth Cave,2022-04-07T15:52:34Z,NPS_WASO_LANDS,2022-04-07T15:52:34Z,NPS_WASO_LANDS,c2b314ce-e387-42ae-9e29-c8e53ba2179f,212
Mesa Verde NP,"3,652,307","548,477",6.658997551,37.25353679,-108.4556154,358,MEVE,Mesa Verde National Park,2021-03-08T00:00:00Z,CO,IM,179042,National Park,Lands,Mesa Verde,2022-04-07T15:52:34Z,NPS_WASO_LANDS,2022-04-07T15:52:34Z,NPS_WASO_LANDS,6ef93f7b-bbba-417b-b8fc-72b7a2276fec,71
Mount Rainier NP,"20,536,136","1,670,063",12.29662354,46.85465295,-121.7064438,10,MORA,Mount Rainier National Park,2015-11-17T00:00:00Z,WA,PW,1528416,National Park,Lands,Mount Rainier,2022-04-07T15:52:34Z,NPS_WASO_LANDS,2022-04-07T15:52:34Z,NPS_WASO_LANDS,ad7aadbd-1256-4f75-aaeb-4b3ae543934f,391
National Park of American Samoa,"16,990","8,495",2,-14.24881436,-169.4488345,423,NPSA,National Park of American Samoa,2016-05-25T00:00:00Z,SA,PW,1966567,National Park,Lands,National Park of American Samoa,2022-04-07T15:52:34Z,NPS_WASO_LANDS,2022-04-07T15:52:34Z,NPS_WASO_LANDS,d9bef6be-b43b-4c83-b285-5ac8528b1060,376
North Cascades NP,"337,862","17,855",18.92254271,48.82837622,-121.3500692,334,NOCA,North Cascades National Park,2016-09-26T00:00:00Z,WA,PW,1528421,National Park,Lands,North Cascades,2022-04-07T15:52:34Z,NPS_WASO_LANDS,2022-04-07T15:52:34Z,NPS_WASO_LANDS,08fa6199-9d6c-400d-b633-cfa85894eaeb,392
Olympic NP,"16,877,666","2,718,925",6.207477588,47.78674893,-123.5342586,354,OLYM,Olympic National Park,2015-04-22T00:00:00Z,WA,PW,1530459,National Park,Lands,Olympic,2022-04-07T15:52:34Z,NPS_WASO_LANDS,2022-04-07T15:52:34Z,NPS_WASO_LANDS,8ae36498-3bf8-4d49-8b71-37e128edc876,395
Petrified Forest NP,"1,452,533","590,334",2.46052743,34.93106114,-109.7726567,286,PEFO,Petrified Forest National Park,2019-08-21T00:00:00Z,AZ,IM,23864,National Park,Lands,Petrified Forest,2022-04-07T15:52:34Z,NPS_WASO_LANDS,2022-04-07T15:52:34Z,NPS_WASO_LANDS,7def6f28-332b-497d-9a81-0a1b09e93d9f,348
Pinnacles NP,"1,980,639","348,857",5.677509696,36.47538116,-121.173379,331,PINN,Pinnacles National Park,2014-02-05T00:00:00Z,CA,PW,247533,National Park,Lands,Pinnacles,2022-04-07T15:52:34Z,NPS_WASO_LANDS,2022-04-07T15:52:34Z,NPS_WASO_LANDS,f33be073-5beb-4994-868e-c731b96d5528,349
Redwood NP,"1,795,847","435,879",4.120058548,41.26689043,-124.0039724,348,REDW,Redwood National Park,2013-12-18T00:00:00Z,CA,PW,277109,National Park,Lands,Redwood,2022-04-07T15:52:34Z,NPS_WASO_LANDS,2022-04-07T15:52:34Z,NPS_WASO_LANDS,220e0fce-0fb4-4f9d-9d40-e5198b7e7341,350
Rocky Mountain NP,"28,648,329","4,434,848",6.459822073,40.35734318,-105.703659,13,ROMO,Rocky Mountain National Park,2022-02-18T00:00:00Z,CO,IM,204948,National Park,Lands,Rocky Mountain,2022-04-07T15:52:34Z,NPS_WASO_LANDS,2022-04-07T15:52:34Z,NPS_WASO_LANDS,29957791-40ba-412e-a552-783750a8a6c9,76
Saguaro NP,"1,553,872","1,079,786",1.439055517,32.1707226,-110.6184396,409,SAGU,Saguaro National Park,2022-01-07T00:00:00Z,AZ,IM,10683,National Park,Lands,Saguaro,2022-04-07T15:52:34Z,NPS_WASO_LANDS,2022-04-07T15:52:34Z,NPS_WASO_LANDS,22b786f6-0d05-4a3a-afd8-f7642c7ec7cc,366
Sequoia NP,"31,682,024","1,059,548",29.90145232,36.49636864,-118.5603889,150,SEQU,Sequoia National Park,2008-11-26T00:00:00Z,CA,PW,266000,National Park,Lands,Sequoia,2022-04-07T15:52:34Z,NPS_WASO_LANDS,2022-04-07T15:52:34Z,NPS_WASO_LANDS,7e6d1f31-c351-4ca9-8568-cb0747e82b1a,356
Shenandoah NP,"11,635,728","1,592,312",7.30744226,38.47325895,-78.4629309,132,SHEN,Shenandoah National Park,2013-12-18T00:00:00Z,VA,NE,1488805,National Park,Lands,Shenandoah,2022-04-07T15:52:34Z,NPS_WASO_LANDS,2022-04-07T15:52:34Z,NPS_WASO_LANDS,6e298caf-524f-478f-b357-6b1b6a83d971,161
Theodore Roosevelt NP,"2,944,360","796,085",3.698549778,46.95575817,-103.4629921,92,THRO,Theodore Roosevelt National Park,2017-04-27T00:00:00Z,ND,MW,1033824,National Park,Lands,Theodore Roosevelt,2022-04-07T15:52:34Z,NPS_WASO_LANDS,2022-04-07T15:52:34Z,NPS_WASO_LANDS,5de1f1c8-27c9-49b4-88d4-f396760b6469,84
Virgin Islands NP,"1,992,595","323,999",6.150003549,18.34394521,-64.73985638,380,VIIS,Virgin Islands National Park,2019-10-24T00:00:00Z,VI,SE,1614406,National Park,Lands,Virgin Islands,2022-04-07T15:52:34Z,NPS_WASO_LANDS,2022-04-07T15:52:34Z,NPS_WASO_LANDS,0483a544-d658-4985-b7cc-1417b6eb7c23,196
Voyageurs NP,"1,147,771","243,042",4.72252121,48.46568316,-92.88554828,418,VOYA,Voyageurs National Park,2016-08-15T00:00:00Z,MN,MW,660491,National Park,Lands,Voyageurs,2022-04-07T15:52:34Z,NPS_WASO_LANDS,2022-04-07T15:52:34Z,NPS_WASO_LANDS,bdf3eace-8306-4bcb-bb2a-17372b4b94e4,281
White Sands NP,"1,537,814","782,469",1.965335368,32.76476676,-106.325954,241,WHSA,White Sands National Park,2020-01-22T00:00:00Z,NM,IM,914261,National Park,Lands,White Sands,2022-04-07T15:52:34Z,NPS_WASO_LANDS,2022-04-07T15:52:34Z,NPS_WASO_LANDS,9b176b2e-61da-4c4e-bd15-79d7243a5070,324
Wind Cave NP,"2,160,776","709,001",3.04763463,43.57532439,-103.4287867,311,WICA,Wind Cave National Park,2016-04-19T00:00:00Z,SD,MW,1263056,National Park,Lands,Wind Cave,2022-04-07T15:52:34Z,NPS_WASO_LANDS,2022-04-07T15:52:34Z,NPS_WASO_LANDS,c5f5790d-6ad2-4f2a-976b-d8c847bcc058,87
Wrangell-St. Elias NP & PRES,"2,308,685","50,189",45.99982068,61.21558631,-143.8660139,405,WRST,Wrangell-St. Elias National Park,2022-03-24T00:00:00Z,AK,AK,1416055,National Park,Lands,Wrangell - St Elias,2022-04-07T15:52:34Z,NPS_WASO_LANDS,2022-04-07T15:52:34Z,NPS_WASO_LANDS,db0d5f68-e106-4fb9-84a6-8412c6ec8de8,422
Yellowstone NP,"82,663,495","4,860,242",17.00810268,44.58303878,-110.4900951,392,YELL,Yellowstone National Park,2008-04-23T00:00:00Z,ID,IM,1609331,National Park,Lands,Yellowstone,2022-04-07T15:52:34Z,NPS_WASO_LANDS,2022-04-07T15:52:34Z,NPS_WASO_LANDS,bff1ce44-8d54-48a4-9548-b895fa8088c1,89
Yosemite NP,"46,271,187","3,287,595",14.07447906,37.84047835,-119.5414203,54,YOSE,Yosemite National Park,2016-01-27T00:00:00Z,CA,PW,255923,National Park,Lands,Yosemite,2022-04-07T15:52:34Z,NPS_WASO_LANDS,2022-04-07T15:52:34Z,NPS_WASO_LANDS,2e3c5f86-f9f3-4ac1-b153-9963591ea86e,374
Zion NP,"31,553,998","5,039,835",6.260918859,37.27952483,-113.0457281,179,ZION,Zion National Park,2017-06-22T00:00:00Z,UT,IM,1455157,National Park,Lands,Zion,2022-04-07T15:52:34Z,NPS_WASO_LANDS,2022-04-07T15:52:34Z,NPS_WASO_LANDS,f521a720-f6de-4d0d-a98b-0249b069c6c7,83
